PIONEER SUPERMARKE BROOKLYN NY     	53
Amazon.com AMZN.COM/BILL WA                  	40
AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        	36
CULINART @ PRATT INSTI BROOKLYN NY           	32
Online Transfer from  SAV ...9790	28
HANABI FOOD INC NEW YORK NY                  	26
7-ELEVEN NEW YORK NY                         	22
UNIVERSITY MARKET NEW YORK NY                	21
Online Transfer from SAV ...9790	18
UNIVERSITY MARKET PLACE NEW YORK NY          	17
MTA VENDING MACHINES 718-330-1234 NY 	13
ENNJU NEW YORK NY                            	12
CHIPOTLE 1766 NEW YORK NY                    	11
MTA VENDING MACHINES NEW YORK NY     	11
CLINTON PARK CAFE BROOKLYN NY                	10
FOOD EMPORIUM # NEW YORK NY                  	10
LEGEND BAR & RESTAURANT NEW YORK NY          	10
APL*APPLE ITUNES STOR 866-712-7753 CA        	9
C-TOWN SUPERMARKET S90 BROOKLYN NY 	8
GRISTEDES # 059 NEW YORK NY        	8
FREEPEOPLE.COM #2899 972-550-2751 PA         	7
MCDONALD'S F14780 NEW YORK NY                	7
BEST HEALTH DELI NEW YORK NY                 	6
C BAO NEW YORK NY                            	6
J MART GROUP INC FLUSHING NY       	6
MTA VENDING MACHINES BROOKLYN NY     	6
RCN*CABLE PHONE INTERN 800-RINGRCN NJ        	6
TASTI D-LITE #116 NEW YORK NY                	6
URBAN-OUTFITTERS-DIR 972-550-2751 PA         	6
CON ED OF NY     INTELL CK                	5
TOP SHOP NEW YORK NEW YORK NY                	5
URBAN OUTFITTER URBAN NEW YORK NY  	5
UTRECHT ART 8004471892 NEW YORK NY           	5
UTRECHT ART SUPPLY #41 BROOKLY NY            	5
ATM WITHDRAWAL                    	4
CENTURY TWENTY ONE #10 NEW YORK NY 	4
HERCULES LAUNDRY 800-526-5760 NY             	4
J MART GROUP INC FLUSHING NY                 	4
NON-CHASE ATM FEE	4
RADIOSHACK COR NEW YORK NY                   	4
SZECHUAN GOURMET NEW YORK NY                 	4
7-ELEVEN CHICAGO IL                          	3
ASSOCIATED BROOKLYN NY             	3
DOMINOS 3688 212-488-4547 NY                 	3
Garnet Wines & Liquors New York NY           	3
HONG KONG SUPERMARKET NEW YORK NY  	3
La Vie En Szechuan Rest NEW YORK NY          	3
NATIONAL GRID 718-643-4050 NY                	3
NON-CHASE ATM SAV TFR   	3
PRATT INSTITUTE PRATT.EDU NY                 	3
RAINBOW YCS NEW YORK NY            	3
REPUBLIC RESTAURANT NEW YORK NY              	3
SZE CHUAN GOURMET NEW YORK NY                	3
VESTA  *T-MOBILE 888-278-3397 OR             	3
WUFOO.COM/CHARGE 813-4213676 CA              	3
ADAFRUIT INDUSTRIES LL 646-4653692 NY        	2
ANTHROPOLOGIE 4 ANTHRO NEW YORK NY	2
BREADS BAKERY NEW YORK NY                    	2
COLLEGE TRANSCRIPT 703-742-4200 VA           	2
DEPOSIT  ID NUMBER 1	2
EVENT TICKET INSURANC 866-456-3102 VA        	2
HARVARD COOP BK 1400 M CAMBRIDGE MA	2
HERCULES CORP 516-8703842 NY                 	2
IKEA BROOKLYN BROOKLYN NY          	2
INT*CANAL PLASTICS CENT NEW YORK NY          	2
KOBE SUSHI JAPANESE CUI NEW YORK NY          	2
LANG CAFE     21117254 NEW YORK NY           	2
MCDONALD'S F2702 NEW YORK NY                 	2
MISS KOREA II NEW YORK NY                    	2
MTA MVM CLASSON AVENU 718-330-1234 NY        	2
MUJI SOHO NY NY                              	2
NON-CHASE ATM WITHDRAW 	2
NON-CHASE ATM WITHDRAW             	2
OFFICIAL CHECKS C	2
OPS*HRCLS LNDY 800526 800-555-1212 NY        	2
PAYPAL *ENVATO 4029357733                    	2
PAYPAL *FREEPEOPLEC 4029357733 SC            	2
PAYPAL *TAYDAELECTR 402-935-7733 CA          	2
PRATT-INST.- PRATT CAR 718-3994202 NY        	2
SHU YI           SENDER     TONG  WEN       CIE ID: T9416	2
SPICE - 1ST AVE NEW YORK NY                  	2
THE NEW SCHOOL 212-229-8930 NY               	2
URBAN OUTFITTER URBAN CAMBRIDGE MA 	2
WAZA SUSHI BROOKLYN NY                       	2
WITHDRAWAL 	2
WWW.ESTEELAUDER.COM 877-311-3883 PA          	2
WZ NY EASTERN WIRELES 646-508-7888 NY        	2
YAMIBUY.COM 626-593-5031 CA                  	2
0800 PIER 1 MAN NEW YORK NY                  	1
16 HANDLES NEW YORK NY                       	1
302-1242-SOHO NEW YORK NY                    	1
304-1244-TIMES NEW YORK        	1
7-ELEVEN 34917 NEW YORK NY                   	1
A LA TURK RESTAURANT NEW YORK NY             	1
AC LAWRENCE NEW YORK NY              	1
ACF-NY 866-573-0445 NY                       	1
AIR CANADA  01472902793 WALTHAM MA           	1
ALEO RESTAURANT CORP NEW YORK NY             	1
Amazon Prime 866-557-2820 NV                 	1
Amazon.com AMZN.COM/BILL        	1
AmazonPrime Membersh amzn.com/prme NV        	1
AMERICA OOTOYA NEW YORK NY                   	1
AMERICAN AI 00123165643 DALLAS TX            	1
AMERICAN AI 00123184111 DALLAS TX            	1
AMERICAN AI 00123230509 DALLAS TX            	1
AMERICAN AI 00123742346 DALLAS TX            	1
AMZ*Lenovo USD amzn.com/        06/13AMZ*	1
ANA AIR     20505210AZX TORRANCE CA          	1
ANA AIR TORRANCE CA                          	1
ANDAZ NEW YORK NY                            	1
ANTHROPOLOGIE 4 ANTHRO BOSTON MA  	1
APPLE ART BROOKLYN NY          	1
APPLE ART BROOKLYN NY                        	1
ARTIST AND CRAF/761 ME BROOKLYN NY 	1
ARTIST&CRAFTSMAN SUPP- CAMBRIDGE MA          	1
ASIAN JEWELS SEAFOOD RE FLUSHING NY          	1
AT&T DF ZEMK5 50136 8003310500 NY  	1
AT&T EMK5 10136 NEW YORK NY        	1
ATM CASH DEPOSIT 11/15 360 E 72ND	1
ATM CASH DEPOSIT 11/25 360 E 72ND	1
BAGELS & MORE NEW YORK NY                    	1
BEDBATH&BEYOND# BEDBAT NEW YORK NY 	1
BEYOND SUSHI NEW YORK NY                     	1
BONCHON CAMBRIDGE MA                         	1
CARDULLO'S GOURMET SHO CAMBRIDGE MA          	1
CENTURY TWENTY ONE #10 NEW YORK NY           	1
Chase QuickPay Electronic Transfer 3497515459 to Li 	1
CHIPOTLE 1892 CAMBRIDGE MA                   	1
CLINTON HILL HARDWARE I BROOKLYN NY          	1
COHEN'S FASHION OPTICA N        06/30COHE	1
COLLEGE TRANSCRIPT 7037424200 VA             	1
COMEBUY NEW YORK NY                          	1
COMPARE SUPERMA BROOKLYN NY                  	1
CONVERSE INC 888-792-3307 MA                 	1
CTA-O'HARE 888-9687282 IL                    	1
C-TOWN SUPERMARKET NEW YORK NY       169547  	1
C-TOWN SUPERMARKET S90 B123131  06/27C-TO	1
C-TOWN SUPERMARKET S90 B962609  06/24C-TO	1
DALLAS BBQ NEW YORK NY                       	1
DISNEY STORE #838 CHICAGO IL                 	1
Duane Reade 1467 1ST A NEW YORK NY 	1
Duane Reade 1498 YORK NEW YORK NY  	1
E TRAVEL RESERVATION BENITO JUAREZ           	1
EB *2013 WORLD MAKER EVENTBRITE.CO CA        	1
EB *TOWARD A COSMOPO EVENTBRITE.CO CA        	1
Edo Japanese Restaurant NEW YORK NY          	1
ESOUTFITTER 800-357-0102 NY                  	1
ETS*CTF TOEFL iBT Tes 609-771-7100 NJ        	1
FANDANGO.COM FANDANGO.COM CA                 	1
FEDEXOFFICE   00009613 NEW YORK NY           	1
FORECAST FOOTWEAR NEW YORK NY      	1
FOREVER 21 #3006 NEW 	1
FOREVER 21 #349 BOSTON MA                    	1
FREE PEOPLE #829 NEW YORK NY                 	1
FREE PEOPLE 815 FREE P NEW YORK NY 	1
FREE PEOPLE 820 FREE P NEW YORK NY 	1
FURRY PAWS IX NEW YORK NY                    	1
GAP USA New York NY                	1
GARDEN OF EDEN #3 NEW YORK NY      	1
GLI*GREYHOUNDLINES150 214-849-8966 TX        	1
GUACAMOLE GRILL CANCUN                   	1
HAN AH REUM NEW YORK NY            	1
HAN AH REUM NEW YORK NY                      	1
HONG KONG SUPERMARKET NEW YORK NY            	1
HOT SOTAVENTO CANCUN                         	1
HOTEL PLAZA ALMENDROS ISLA MUJERES           	1
HOTWIRE-SALES FINAL 866-468-9473 CA          	1
J. AUGUST BOOKSTORE #03 CAMBRIDGE MA         	1
Jia Xing 39th INC NEW YORK NY                	1
JOE FRESH NEW YORK NY                        	1
JOHN BARLEYCORN RIVER N CHICAGO IL           	1
KHIMS MILLENIUM VIII BROOKLYN NY             	1
KMART           7777 NEW YORK NY   	1
KUM KAU BROOKLYN NY                          	1
KUN JIP RESTAURANT NEW YORK NY               	1
LAGUARDIA/FIGS CAFE CON FLUSHING NY          	1
LCI*BIOTHERM 866-246-8437 NY                 	1
LEE'S EVERCLEAN LAUNDR NEW YORK NY           	1
LIFE IS GOOD RETAIL BOSTON MA                	1
LUKE`S LOBSTER NEW YORK NY                   	1
M2M MART NEW YORK NY                         	1
MACY*S .COM #0129 800	1
MAISON KAYSER - 12 NEW YORK NY               	1
MANGO NEW YORK NY                            	1
MARKET DELI & GROCERY NEW YORK NY            	1
MATATENA HOTEL SOLIDARIDAD Q                 	1
MATSU FUSION RESTAURAN NEW YORK NY           	1
MCDONALD'S F26934 BOSTON MA                  	1
MCDONALD'S F4682 NEW YORK NY                 	1
METROCARD VALUE @ AIR 718-330-1234 NY651834  	1
MFA MUSEUM SHOP MEP BOSTON MA                	1
MFA TICKETS/MEMBERSHIP BOSTON MA             	1
MORTON WILLIAMS 2941 B NEW YORK NY 	1
MOVIETICKETS.COM 888-4408457 FL              	1
MTA VENDING MACHINES 718073740  06/23MTA 	1
MUSEUM OF CONTEMPORARY CHICAGO IL            	1
MYRTLE THAI RESTAURANT BROOKLYN NY           	1
NEO SUSHI STUDIO INC NEW YORK NY             	1
NEW MUSEUM NEW YORK NY                       	1
NEW MUSEUM STORE NEW YORK NY                 	1
NEWARK US     00000109 773-9075740 IL        	1
NEWBURY COMICS INC CAMBRIDGE MA    	1
NON-CHASE ATM FE	1
NORDSTROM DIRECT #080 800-285-5800 IA        	1
Online Transfer to  SAV ...9790 	1
ONLINE WIRE TRANSFER VIA: BANK OF AMERICA	1
PAYARD PASTRY SHOP & B NEW YORK NY           	1
PAYPAL           INST XFER  4G8226ASZL7AN   WEB ID: PAYPA	1
PAYPAL           INST XFER  4G8226DWFGBCS   WEB ID: PAYPA	1
PAYPAL           INST XFER  4G8226H9SPBFA   WEB ID: PAYPA	1
